"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
74,2,4,15,610,4,10,8,8,2,6,9,2,2,1,2,5,2,4,3,NA
86,2,4,18,720,3,0,6,5,2,6,9,4,1,5,3,7,7,3,5,180
26,2,6,11,212,NA,6,8,7,1,6,6,1,2,3,2,6,6,2,5,60
52,1,NA,12,322,6,8,8,9,3,5,7,2,2,2,4,5,1,2,5,120
63,1,NA,13,423,7,6,10,10,1,2,6,1,3,4,3,6,5,2,5,60
61,2,4,12,322,3,4,10,10,1,6,5,2,1,2,1,4,1,3,5,5
47,2,6,12,322,7,10,8,9,2,5,9,1,4,3,5,6,1,3,4,60
70,1,NA,9,322,5,7,8,8,1,5,6,2,1,2,2,5,4,4,1,NA
67,2,4,19,NA,6,3,9,9,2,6,5,1,1,4,3,6,6,3,5,120
68,1,NA,11,322,9,2,9,8,4,6,7,1,3,3,1,6,6,4,5,180
50,2,NA,12,720,6,6,8,8,2,5,7,2,4,4,5,5,3,2,5,60
62,1,4,12,313,7,3,9,9,1,4,7,2,2,2,2,7,7,5,5,360
64,2,4,12,322,2,4,9,9,1,4,7,1,1,1,1,4,4,3,4,60
39,1,NA,18,610,8,6,7,9,2,6,6,2,3,2,1,6,2,3,5,180
43,2,4,11,322,3,0,9,9,1,6,4,1,2,5,1,7,7,4,5,150
47,1,NA,13,322,6,3,8,8,2,4,8,1,1,1,3,5,5,2,5,90
30,2,6,11,322,7,3,8,8,1,5,6,1,2,3,3,6,NA,3,5,180
77,2,1,11,322,3,6,10,10,1,4,3,1,1,2,2,4,1,4,5,30
48,2,6,15,423,8,3,9,9,4,3,9,2,3,4,5,6,NA,1,3,NA
35,2,NA,17,620,7,0,4,4,4,3,7,3,1,6,6,7,7,1,5,600
48,1,NA,14,322,NA,2,10,10,3,6,7,3,4,3,2,6,6,3,5,180
53,1,NA,17,520,9,2,8,8,2,4,7,3,2,4,2,6,7,3,5,45
54,1,NA,14,520,NA,7,7,8,2,6,4,1,2,2,3,4,3,4,4,270
50,1,NA,12,322,6,4,8,8,2,4,8,1,1,1,4,6,2,3,5,150
42,2,6,12,322,3,5,8,7,1,6,4,1,1,4,3,5,5,3,5,480
46,1,NA,9,322,NA,NA,8,8,2,5,5,2,3,1,3,77,NA,3,5,90
53,1,NA,12,322,NA,5,6,7,2,4,2,1,2,3,2,4,4,2,5,165
33,2,6,9,322,6,5,7,6,2,6,6,NA,2,2,2,5,4,3,5,120
23,1,NA,13,423,8,10,9,9,1,6,5,2,2,1,2,3,1,4,5,390
73,1,4,8,212,2,0,10,9,3,2,0,4,2,2,5,6,7,2,1,NA
55,1,4,10,520,4,0,8,8,3,6,3,1,1,2,5,7,7,3,5,30
64,2,4,12,322,2,1,9,9,2,6,8,1,2,3,5,5,5,4,5,90
76,2,4,14,610,3,8,9,9,2,6,8,1,1,4,5,4,2,4,4,60
57,1,6,14,423,NA,5,10,9,1,6,8,2,2,3,3,7,6,3,5,180
69,1,NA,13,800,10,8,9,8,1,NA,9,1,1,1,2,3,3,4,3,NA
47,2,NA,14,422,6,0,7,9,1,4,6,2,2,3,2,6,7,3,5,90
57,2,NA,16,610,7,0,8,10,1,4,6,3,2,2,4,7,7,4,5,240
