"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
65,2,4,9,212,2,5,10,10,1,6,9,1,1,1,1,6,6,4,5,120
54,2,4,13,322,3,7,9,9,1,6,7,2,2,3,2,7,3,3,5,90
48,2,6,20,720,7,3,10,10,1,4,6,2,1,4,4,6,2,3,5,0
57,2,5,12,322,7,6,8,8,2,4,6,3,3,3,4,5,2,3,4,15
58,2,5,12,322,2,5,10,10,1,7,8,1,1,3,4,5,4,4,5,15
42,2,4,20,710,2,0,2,7,2,6,7,1,1,3,3,7,4,3,5,270
72,2,5,12,322,2,7,9,9,1,6,8,2,2,3,3,6,3,3,5,60
61,1,4,14,610,3,1,4,4,4,4,5,2,2,4,5,7,6,3,5,120
29,2,6,11,322,2,5,7,6,1,6,5,1,3,3,3,6,6,3,5,180
58,1,4,12,322,3,3,7,7,3,7,5,2,1,1,3,7,2,4,4,60
31,1,6,14,423,10,8,9,9,1,5,5,2,1,1,2,4,3,3,5,180
77,1,4,17,720,1,0,8,9,1,2,5,1,2,4,3,7,7,1,5,120
35,2,6,16,610,3,0,6,7,1,3,0,1,1,6,2,7,7,2,5,300
58,2,5,20,423,6,8,9,9,1,7,9,4,2,3,3,4,1,3,5,60
55,2,6,13,423,4,9,1,2,2,6,2,2,1,1,3,3,1,4,5,180
57,2,4,10,212,2,0,7,7,3,4,2,1,1,3,2,7,1,2,5,150
25,1,6,12,322,10,5,10,10,1,6,8,1,2,3,2,7,7,4,5,540
46,1,4,12,322,4,0,8,8,2,6,6,4,2,4,2,7,7,3,5,120
57,2,6,12,322,4,0,9,9,1,4,8,3,1,5,6,7,7,3,5,570
61,2,5,13,720,7,0,4,3,4,2,7,2,3,5,3,7,7,1,5,180
39,2,4,13,423,5,3,8,8,2,4,9,1,1,1,4,6,1,2,5,240
28,2,6,17,610,5,0,8,8,1,5,7,1,1,3,1,7,7,3,5,180
23,2,6,9,322,1,3,6,6,2,6,7,2,2,3,3,6,6,2,5,180
57,1,6,15,423,8,5,10,10,1,5,6,2,1,5,3,6,6,2,5,180
62,2,4,12,322,8,0,8,8,3,4,6,3,1,5,4,7,7,2,5,30
74,2,5,12,313,6,0,8,8,1,6,5,3,1,5,4,7,7,3,5,180
16,1,6,10,213,3,1,9,9,1,6,9,1,1,1,1,6,6,3,5,120
34,1,6,13,520,5,0,4,5,4,6,3,4,1,2,3,7,7,3,5,300
26,1,6,11,322,3,0,8,7,1,6,5,1,1,2,2,7,7,4,5,300
29,2,6,17,520,2,0,9,10,2,6,5,1,1,4,1,7,7,2,5,180
63,2,4,18,800,4,2,9,10,2,4,8,3,1,3,2,7,3,4,5,60
80,2,6,20,720,4,10,9,9,3,5,5,2,1,3,4,7,1,2,5,30
53,1,4,9,322,3,3,7,7,3,5,6,2,2,2,2,6,6,2,5,120
49,1,4,16,422,8,7,5,7,2,4,7,1,2,2,3,6,1,3,5,120
48,2,4,16,610,5,5,7,7,2,4,8,1,2,1,4,6,2,3,5,210
84,1,5,12,322,6,6,8,10,1,5,6,1,1,1,2,3,3,3,5,90
29,2,6,22,620,8,7,9,9,2,6,7,3,2,3,3,6,7,4,5,540
24,2,6,18,620,3,2,9,9,1,7,9,2,4,4,3,5,7,4,5,480
53,1,4,12,322,4,0,8,7,1,6,7,2,2,4,3,7,7,3,5,120
37,2,6,16,620,5,0,9,9,2,4,6,2,2,3,2,7,7,3,5,540
51,1,6,9,322,3,3,7,7,2,6,7,2,1,4,2,7,7,4,5,120
33,2,6,14,423,2,4,8,7,1,6,5,2,1,3,1,6,6,3,5,300
35,2,4,11,322,3,0,9,9,1,5,8,1,1,6,6,5,6,3,5,420
66,2,4,11,322,3,10,7,7,2,6,7,1,3,1,3,5,1,3,5,120
63,2,4,12,313,6,8,8,8,2,4,8,2,2,3,3,6,2,4,5,120
44,2,6,12,322,9,3,7,7,3,5,8,2,1,2,3,7,7,2,5,120
23,2,6,12,322,10,0,7,7,2,6,0,2,2,3,2,7,7,2,5,420
43,2,6,11,322,2,5,8,7,2,6,7,1,3,1,2,5,4,3,4,60
29,1,6,11,322,2,1,6,6,2,5,6,1,1,4,1,7,7,2,5,120
35,1,6,12,322,8,0,8,9,2,5,8,2,2,2,2,7,6,3,5,180
45,2,6,14,322,3,5,7,6,3,5,9,2,2,3,3,6,3,3,5,120
73,1,4,12,423,3,0,5,7,2,3,2,2,1,5,2,7,7,2,5,240
23,1,6,13,322,3,0,3,3,2,3,4,2,4,4,4,7,7,2,5,480
41,1,6,16,520,5,4,5,5,1,6,4,4,1,3,3,6,6,3,5,180
29,1,6,13,423,8,2,9,9,2,6,8,2,1,4,2,7,7,3,5,90
25,1,6,19,620,1,0,8,9,1,5,6,1,1,4,2,7,7,3,5,360
78,2,4,12,322,1,0,8,7,3,6,6,1,2,1,3,7,7,4,5,150
73,2,4,11,322,3,8,10,9,1,5,6,1,1,3,5,6,1,2,5,30
48,1,4,11,322,4,2,8,7,3,6,3,1,1,2,3,6,6,3,5,120
85,2,5,9,212,3,5,9,8,3,6,8,1,1,2,3,6,6,3,5,30
18,2,5,11,322,6,7,5,5,2,6,6,2,1,3,3,4,4,4,5,120
46,1,6,13,423,3,10,8,8,2,6,8,3,1,1,5,6,1,2,5,480
19,2,6,13,212,5,0,8,9,2,6,9,2,2,3,2,7,7,3,5,240
63,2,5,21,720,2,7,10,10,1,4,6,1,1,1,1,4,1,4,5,120
64,2,4,10,322,2,5,5,6,3,4,4,1,1,2,3,5,1,2,4,10
75,2,5,12,322,3,0,9,10,2,5,3,1,1,1,5,7,7,3,5,2
49,1,4,16,313,3,0,9,9,1,6,5,3,2,2,2,7,7,3,5,360
43,1,6,13,423,6,8,7,7,1,4,7,2,2,3,4,3,1,2,5,180
